"","PlotID","Simpson_diversity_a","Evenness_simpson_a","vert_sd","mean_height","mean_dbh","n_Layer","geom","n_TreMs"
"26","HEW32",1.47110945311703,0.81473339941278,NA,NA,24.3867924528302,13.46,c(595041.588174863, 5666217.49473541),7.33333333333333
"27","HEW33",1.50453084614254,0.958654069086071,NA,NA,40.4796208530806,22.68,c(605088.481628093, 5688891.0736315),7.16666666666667
"28","HEW34",1.46930196690376,0.801971562714224,NA,NA,25.7741721854305,18.69,c(601857.351971166, 5660249.79771108),20.8333333333333
"29","HEW35",1.46241496598639,0.789647017903947,NA,NA,22.6426573426573,20.51,c(598367.846763692, 5662406.75701278),9.16666666666667
"30","HEW36",1.47932942708333,1.35674833638094,NA,NA,22.249115913556,14.93,c(598661.30621096, 5662587.85010947),15.6666666666667
"31","HEW37",1.45180815295797,0.665921946054472,NA,NA,35.4558303886926,19.67,c(602161.739817056, 5660225.39307735),22.3333333333333
"32","HEW38",1.45781994420261,0.729789869102465,6.92537214425987,8.79427613355511,29.8206896551724,20.56,c(602283.058216837, 5659664.10275709),16.5
"33","HEW39",1.44664375667192,0.632223566622308,NA,NA,35.1178861788618,19.65,c(602649.165783125, 5661183.5170642),14
"34","HEW04",1.31781028738026,0.728352761796389,NA,NA,31.2,4.16,c(606733.398063917, 5692029.73403853),NA
"35","HEW40",1.42547732867206,0.66398805493688,7.85882242366488,9.30895211542756,31.1109725685786,19.58,c(604948.947635379, 5659782.75534303),13.8333333333333
"36","HEW41",1.47858608814345,0.76286132251195,6.38489508407386,7.6291147107868,28.0139601139601,19.47,c(601852.872752605, 5662849.41594808),16.8333333333333
"37","HEW42",1.4762667934821,0.801695438005658,7.22640283954543,7.88146797066165,34.7855421686747,22.5,c(602206.339008227, 5662258.87538702),10.3333333333333
"38","HEW43",1.42750850340136,1.32768427551197,NA,NA,11.7009900990099,4.18,c(594608.18569272, 5687632.06160417),3.5
"39","HEW44",1.43310591764649,1.2814266876435,NA,NA,25.0666666666667,5.1,c(595300.751141311, 5687820.44958538),0
"40","HEW45",1.41851698806244,1.26609743594605,NA,NA,13.2028786840302,10.64,c(587795.714039032, 5691054.73066239),NA
"41","HEW46",1.40058097978017,0.829803138230685,NA,NA,28.551106639839,20.7,c(603422.958200802, 5656208.01678252),4.33333333333333
"42","HEW47",1.42557788421491,0.930338121847357,7.83516059898211,8.46376281708852,34.5527331189711,23.04,c(596343.594211266, 5670624.21380094),10.1666666666667
"43","HEW48",1.41897585190328,0.881818869950391,NA,NA,39.7054347826087,14.9,c(597502.101604788, 5665945.85818836),7.66666666666667
"44","HEW49",1.36074074074074,0.309125555365906,NA,NA,30.2457142857143,17.87,c(596850.587531636, 5666709.58770129),3.33333333333333
"45","HEW05",1.43640030079801,1.36759620693617,NA,NA,23.5741273100616,20.49,c(586579.083066672, 5679901.28404044),1.33333333333333
"46","HEW50",1.48584692800909,1.33732212493482,NA,NA,22.5711111111111,15.37,c(601922.438560952, 5661151.61786821),9.83333333333333
"47","HEW06",1.35491511870054,0.742676833786971,NA,NA,38.2812720848057,24.98,c(586466.717594585, 5680325.68440113),3
"48","HEW07",1.45446898779102,0.724942888829718,6.95815827315594,9.42066890387784,27.7869426751592,17.58,c(596940.189521794, 5665315.63517264),19.1666666666667
"49","HEW08",1.33479665289613,0.325770455350796,NA,NA,25.9236842105263,14.21,c(605625.606680132, 5690482.89432463),5.33333333333333
"50","HEW09",1.50623168752519,0.711079301553747,5.86572622587888,6.99376053352011,30.7592105263158,19.69,c(596641.159591369, 5665215.40521614),8.16666666666667
